frame,7,6
1,2,3
83,2,1
99,2,2
107,2,1
119,5,1
135,2,1
187,2,3
247,3,3
263,5,3
331,5,1
387,1,1
399,2,1
471,2,5
491,2,1
495,1,3
499,1,5
507,1,3
511,1,5
515,1,3
519,1,5
523,1,3
527,1,5
567,1,1
587,5,1
619,5,2
623,5,3
675,5,2
747,5,5
767,5,4
899,5,3
903,5,4
951,4,4
1067,4,3
1131,3,3
1139,1,3
1271,1,1
1283,4,1
1311,1,1
1403,1,4
1435,4,4
1519,4,3
1543,4,4
1555,4,3
1587,1,3
1639,1,1
1703,1,3
1707,1,1
1823,1,4
2035,4,4
2043,1,4
2071,4,4
2075,4,1
2115,4,4
2311,4,1
2339,4,4
2347,1,4
2383,1,1
2391,1,3
2395,4,3
2415,4,4
2427,4,3
2467,4,4
2487,4,3
2531,4,4
2539,4,3
2567,4,1
2583,4,3
2587,4,1
2639,1,1
2655,4,1
2703,4,3
2707,1,3
2715,1,4
2747,4,4
2867,4,3
2927,3,3
2959,1,3
2979,1,4
3003,1,3
3075,4,3
3151,4,4
3163,4,1
3195,4,4
3199,3,4
3223,3,1
3251,1,1
3271,1,4
3275,4,4
3315,4,1
3339,4,4
3387,1,4
3427,4,4
3431,1,4
3479,1,3
