frame,8,9,7,10,6
2,2,0,4,0,0
15,2,5,4,0,1
48,2,5,4,3,1
54,2,5,4,4,1
75,2,4,4,4,1
90,2,3,4,4,1
102,2,3,4,4,5
108,2,3,4,5,5
126,5,3,4,5,5
135,2,4,4,5,5
141,5,4,4,5,5
156,2,4,4,5,5
195,1,4,4,2,5
207,1,4,4,5,5
228,5,4,4,5,5
234,1,4,4,5,1
240,1,4,4,2,5
258,5,4,4,2,5
291,1,4,4,2,5
300,2,4,4,1,5
306,1,4,4,1,5
312,1,4,4,1,5
318,1,4,4,1,5
333,1,4,4,2,5
339,1,4,4,2,1
345,1,4,4,2,5
351,1,4,4,2,2
417,4,4,4,2,2
426,4,4,4,2,1
435,1,4,4,2,5
498,5,4,4,2,1
546,5,3,4,2,4
582,5,3,4,4,1
594,5,3,4,4,4
648,5,3,4,4,1
699,5,1,4,4,1
708,5,3,4,4,1
777,3,3,4,4,1
810,4,3,4,4,3
852,4,1,4,4,3
861,1,1,4,4,3
867,1,1,4,3,3
924,4,1,4,3,1
930,4,2,1,3,5
972,1,2,1,3,5
978,2,2,1,3,4
999,5,2,1,3,4
1011,5,2,1,4,4
1017,3,2,1,4,4
1026,5,2,1,4,4
1047,4,2,1,4,4
1059,2,2,1,4,4
1068,1,2,1,4,4
1074,1,2,1,1,4
1116,1,5,1,1,4
1149,2,1,1,1,4
1161,2,1,5,2,4
1170,5,1,5,2,4
1179,2,1,5,2,4
1185,5,4,5,2,4
1197,3,4,5,5,4
1230,4,4,5,5,4
1236,3,3,5,5,4
1266,5,3,5,5,4
1272,2,3,5,5,4
1278,3,3,5,5,4
1299,3,3,5,5,5
1308,3,3,5,5,4
1320,3,1,5,5,4
1356,3,4,5,5,4
1383,3,4,5,5,5
1398,3,5,4,5,5
1407,3,5,4,5,4
1413,3,5,4,5,4
1473,2,5,4,5,4
1530,2,5,4,5,5
1596,2,5,4,4,5
1608,2,5,4,5,5
1623,2,4,4,5,5
1629,2,4,4,5,4
1650,4,4,4,5,4
1692,3,4,4,5,4
1707,3,4,4,3,4
1716,4,4,4,3,4
1743,4,4,4,5,4
1764,5,4,4,5,4
1779,2,4,4,5,4
1785,2,4,4,5,5
1821,2,3,4,5,5
